Order,breed_name_akc,breed_group_akc,breed_life_expect_yrs,listed_dogdiet_mvp,food_recomm_product,dogapi_id
1,"Other, including other breeds, mixed breed, unsure, and others",,,,,00000000-0000-0000-0000-000000000000
2,American Staffordshire Terrier,,,,,30a056b8-2bbe-4aa9-b874-c511eb2ca775
3,Beagle,,,,,d8621d92-6558-451c-8631-a32e767026a0
4,Chihuahua,,,,,092dae18-86f4-4b41-a3f8-f57fab2f6f2c
5,French Bulldog,,,,,1fa29da4-8cc9-4f82-9c4d-cd93ee6dd6be
6,Golden Retriever,,,,,fee91641-2a2e-4c4f-b557-cff67c5803bc
7,Labrador Retriever,,,,,9d7c4db8-b9cf-4ed3-af8e-86fc56fbf251
8,Shih Tzu,,,,,e4aa816d-fb22-4841-80c4-b9967c310447
9,Staffordshire Bull Terrier,,,,,791fa86c-ff6c-49d9-92ee-b33c755ca50e
10,Yorkshire Terrier,,,,,ce40589c-295a-4259-9e83-711854db8129
